"Name","Address","Sector","Stage","Website","City","latitude","longitude"
"Slow Ventures","San Francisco, CA","Consumer, Enterprise, Crypto","Seed, Series A","https://slow.co/","San Francisco, CA","37.7749","-122.4194"
"Forerunner Ventures","100 Montgomery St, San Francisco, CA 94104","Consumer, Commerce","Seed, Series A","https://forerunnerventures.com/","San Francisco, CA","37.79","-122.402"
"BoxGroup","New York, NY","Consumer, Enterprise, Fintech","Pre-Seed, Seed","https://www.boxgroup.com/","New York, NY","40.7128","-74.006"
"Lerer Hippeau","100 Avenue of the Americas, New York, NY 10013","Consumer, Enterprise, Media","Pre-Seed, Seed","https://www.lererhippeau.com/","New York, NY","40.723","-74.005"
"Greycroft","292 Madison Ave, New York, NY 10017","Internet, Mobile, Tech","Seed, Series B, Series C","https://www.greycroft.com/","New York, NY","40.752","-73.979"
"RRE Ventures","130 E 59th St, New York, NY 10022","Fintech, Enterprise, Consumer","Seed, Series A, Series B","https://www.rre.com/","New York, NY","40.762","-73.968"
"General Atlantic","55 E 52nd St, New York, NY 10055","Growth Equity","Series B, Series C","https://www.generalatlantic.com/","New York, NY","40.759","-73.972"
"ICONIQ Capital","394 Pacific Ave, San Francisco, CA 94111","Tech Growth","Series B, Series C","https://iconiqcapital.com/","San Francisco, CA","37.797","-122.403"
"Ribbit Capital","Palo Alto, CA","Fintech, Crypto","Seed, Series B, Series C","https://ribbitcap.com/","Palo Alto, CA","37.4419","-122.143"
"Obvious Ventures","220 Halleck St, San Francisco, CA 94129","Climate, Health, Purpose","Seed, Series A, Series B","https://obvious.com/","San Francisco, CA","37.8","-122.455"
"Venrock","3340 Hillview Ave, Palo Alto, CA 94304","Tech, Healthcare","Seed, Series B, Series C","https://www.venrock.com/","Palo Alto, CA","37.405","-122.145"
"Scale Venture Partners","950 Tower Ln, Foster City, CA 94404","Enterprise SaaS, Cloud","Series A, Series B","https://www.scalevp.com/","Foster City, CA","37.558","-122.275"
"Emergence Capital","160 Bovet Rd, San Mateo, CA 94402","Enterprise SaaS","Pre-Seed, Seed","https://www.emcap.com/","San Mateo, CA","37.56","-122.32"
"DCVC (Data Collective)","270 University Ave, Palo Alto, CA 94301","Deep Tech, AI, Bio","Seed, Series B, Series C","https://www.dcvc.com/","Palo Alto, CA","37.444","-122.163"
"8VC","San Francisco, CA","Bio, Logistics, Enterprise","Seed, Series B, Series C","https://8vc.com/","San Francisco, CA","37.7749","-122.4194"
